DMUserUserName,DMUserPWD
barDM0001@mailinator.com,Pass19word
barDM0002@mailinator.com,Pass19word
barDM0003@mailinator.com,Pass19word
barDM0004@mailinator.com,Pass19word
barDM0005@mailinator.com,Pass19word
barDM0006@mailinator.com,Pass19word
barDM0007@mailinator.com,Pass19word
barDM0008@mailinator.com,Pass19word
barDM0009@mailinator.com,Pass19word
barDM0010@mailinator.com,Pass19word
barDM0011@mailinator.com,Pass19word
barDM0012@mailinator.com,Pass19word
barDM0013@mailinator.com,Pass19word
barDM0014@mailinator.com,Pass19word
barDM0015@mailinator.com,Pass19word
barDM0016@mailinator.com,Pass19word
barDM0017@mailinator.com,Pass19word
barDM0018@mailinator.com,Pass19word
barDM0019@mailinator.com,Pass19word
barDM0020@mailinator.com,Pass19word
barDM0021@mailinator.com,Pass19word
barDM0022@mailinator.com,Pass19word
barDM0023@mailinator.com,Pass19word
barDM0024@mailinator.com,Pass19word
barDM0025@mailinator.com,Pass19word
